Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,year,month,count
,2016,1,1258
,2016,2,1442
,2016,3,1657
,2016,4,1690
,2016,5,1518
,2016,6,1341
,2016,7,1256
,2016,8,1160
,2016,9,1011
,2016,10,975
,2016,11,952
,2016,12,1055
,2017,1,845
,2017,2,839
,2017,3,1058
,2017,4,1246
,2017,5,1294
,2017,6,1288
,2017,7,1340
,2017,8,1260
,2017,9,1193
,2017,10,1127
,2017,11,1150
,2017,12,1007
,2018,1,828
,2018,2,697
,2018,3,1102
,2018,4,1007
,2018,5,987
,2018,6,1047
,2018,7,957
,2018,8,951
,2018,9,756
,2018,10,825
,2018,11,837
,2018,12,740
,2019,1,612
,2019,2,592
,2019,3,621
,2019,4,745
,2019,5,734
,2019,6,781
,2019,7,670
,2019,8,766
,2019,9,712
,2019,10,692
,2019,11,825
,2019,12,828
,2020,1,735
,2020,2,475
,2020,3,565
,2020,4,597
,2020,5,651
,2020,6,684
,2020,7,759
,2020,8,645
,2020,9,656
,2020,10,585
,2020,11,645
,2020,12,493
,2021,1,532
,2021,2,583
,2021,3,665
,2021,4,664
,2021,5,690
,2021,6,654
,2021,7,609
,2021,8,607
,2021,9,705
,2021,10,733
,2021,11,757
,2021,12,687
,2022,1,589
,2022,2,547
,2022,3,694
,2022,4,822
,2022,5,767
,2022,6,833
,2022,7,859
,2022,8,788
,2022,9,761
,2022,10,780
,2022,11,751
,2022,12,745
,2023,1,658
,2023,2,625
,2023,3,719
,2023,4,699
,2023,5,609
,2023,6,695
,2023,7,717
,2023,8,769
,2023,9,713
,2023,10,720
,2023,11,650
,2023,12,633
,2024,1,555
,2024,2,508
,2024,3,613
,2024,4,610
,2024,5,593
,2024,6,602
,2024,7,635
,2024,8,662
,2024,9,633
,2024,10,606
,2024,11,622
,2024,12,632
