지점,지점명,일시,1.5M 정시 습도(%),10CM 정시 토양수분(%),20CM 정시 토양수분(%),30CM 정시 토양수분(%),50CM 정시 토양수분(%),1.5M 정시 기온(°C),1.5M 정시 풍속(m/s),정시 지면온도(°C),정시 초상온도(°C),1.5M 정시 지중온도(°C),정시 누적 순복사(MJ/m2),정시 누적 전천복사(MJ/m2),정시 누적 반사복사(MJ/m2),정시 조도(10lux),정시 지하수위(cm),rain_mm
119,수원(농),2024-01-01 01:00:00,97.5,47.6,47.3,47.8,63.0,-1.4,,-1.2,-6.1,8.8,,100.0,,,,0.0
119,수원(농),2024-01-01 02:00:00,98.2,47.2,46.8,48.0,63.1,-1.2,,-0.8,-3.1,8.8,,100.0,,,,0.0
119,수원(농),2024-01-01 03:00:00,97.1,47.2,46.7,48.1,62.6,-1.7,,-1.7,-6.3,8.8,,100.0,,,,0.0
119,수원(농),2024-01-01 04:00:00,97.6,47.1,47.0,48.1,63.2,-1.9,,-1.3,-5.3,8.8,,100.0,,,,0.0
119,수원(농),2024-01-01 05:00:00,98.1,47.3,47.5,47.6,62.5,-1.6,,-1.0,-3.7,8.8,,100.0,,,,0.0
119,수원(농),2024-01-01 06:00:00,97.9,47.1,46.7,47.6,62.9,-1.6,,-1.5,-4.3,8.8,,100.0,,,,0.0
119,수원(농),2024-01-01 07:00:00,97.5,47.5,46.9,47.2,62.8,-1.7,,-2.0,-6.7,8.8,,100.0,,,,0.0
119,수원(농),2024-01-01 08:00:00,97.1,47.5,46.8,47.4,62.6,-2.2,,-2.0,-6.9,8.8,,,,,,0.0
119,수원(농),2024-01-01 09:00:00,98.7,47.5,47.0,47.5,62.6,-1.1,,-0.6,-1.5,8.8,,,,,,0.0
119,수원(농),2024-01-01 10:00:00,96.1,47.6,47.0,48.0,63.5,2.7,,-0.1,3.8,9.0,,,,,,0.0
119,수원(농),2024-01-01 11:00:00,74.7,47.4,46.9,47.4,62.9,5.0,,3.3,5.2,9.1,,,,,,0.0
119,수원(농),2024-01-01 12:00:00,72.1,47.6,47.2,47.7,63.9,5.3,,3.3,10.2,9.0,,,,,,0.0
119,수원(농),2024-01-01 13:00:00,70.0,47.4,47.8,47.9,63.4,6.4,,10.5,20.2,9.0,,,,,,0.0
119,수원(농),2024-01-01 14:00:00,65.7,47.4,46.9,47.7,62.3,6.3,,8.0,12.0,9.0,,,,,,0.0
119,수원(농),2024-01-01 15:00:00,67.4,47.3,46.7,48.6,62.2,6.1,,5.6,7.6,8.9,,,,,,0.0
119,수원(농),2024-01-01 16:00:00,67.1,47.6,47.3,49.2,62.8,5.9,,4.7,6.5,8.9,,,,,,0.0
119,수원(농),2024-01-01 17:00:00,68.9,47.2,47.0,48.2,63.2,5.5,,3.3,4.3,8.9,,,,,,0.0
119,수원(농),2024-01-01 18:00:00,75.9,47.7,47.4,49.1,62.8,3.7,,0.5,-3.4,8.8,,100.0,,,,0.0
119,수원(농),2024-01-01 19:00:00,80.9,47.7,46.8,48.8,62.6,2.9,,0.9,-0.7,8.8,,100.0,,,,0.0
119,수원(농),2024-01-01 20:00:00,82.4,47.5,47.2,48.9,63.2,3.0,,1.1,0.2,8.8,,100.0,,,,0.0
119,수원(농),2024-01-01 21:00:00,83.9,47.1,46.7,48.3,63.2,2.9,,1.1,0.7,8.8,,100.0,,,,0.0
119,수원(농),2024-01-01 22:00:00,83.0,47.0,46.7,49.0,62.4,3.1,,1.1,1.1,8.8,,100.0,,,,0.0
119,수원(농),2024-01-01 23:00:00,83.2,46.7,46.4,48.8,62.2,3.1,,1.1,1.0,8.8,,100.0,,,,0.0
119,수원(농),2024-01-02 00:00:00,84.9,47.2,46.7,48.6,63.1,2.9,,1.1,1.1,8.8,,100.0,,,,0.0
119,수원(농),2024-01-02 01:00:00,85.4,46.7,46.5,48.9,62.4,3.1,,1.2,1.6,8.8,,100.0,,,,0.0
119,수원(농),2024-01-02 02:00:00,87.9,47.3,46.9,48.4,62.9,2.8,,1.1,1.3,8.8,,100.0,,,,0.0
119,수원(농),2024-01-02 03:00:00,89.5,47.1,46.5,48.5,62.4,2.6,,1.1,1.4,8.8,,100.0,,,,0.0
119,수원(농),2024-01-02 04:00:00,89.1,47.1,46.8,48.5,62.1,2.6,,0.7,0.0,8.8,,100.0,,,,0.0
119,수원(농),2024-01-02 05:00:00,90.2,47.3,47.1,48.7,63.1,2.3,,0.1,-1.8,8.7,,100.0,,,,0.0
119,수원(농),2024-01-02 06:00:00,94.1,46.9,46.6,48.3,62.6,1.6,,0.3,-0.5,8.7,,100.0,,,,0.0
119,수원(농),2024-01-02 07:00:00,94.0,47.1,46.7,48.6,63.4,1.8,,0.6,0.5,8.7,,100.0,,,,0.0
119,수원(농),2024-01-02 08:00:00,92.4,47.1,46.5,48.8,63.1,2.0,,0.9,1.0,8.7,,,,,,0.0
119,수원(농),2024-01-02 09:00:00,86.9,47.5,46.4,48.5,62.5,2.5,,1.4,2.0,8.8,,,,,,0.0
119,수원(농),2024-01-02 10:00:00,81.9,46.9,47.1,48.5,62.7,3.3,,3.1,4.9,8.8,,,,,,0.0
119,수원(농),2024-01-02 11:00:00,70.4,47.3,46.6,48.4,62.8,4.2,,7.3,8.0,8.8,,,,,,0.0
119,수원(농),2024-01-02 12:00:00,68.9,46.9,47.1,48.6,63.3,4.5,,6.3,7.7,8.8,,,,,,0.0
